timestamp,blockReward
1686640475,0.026833235
1686640487,0.049940463
1686640499,0.014670099
1686640511,0.016399974
1686640523,0.020161741
1686640535,0.04631383
1686640547,0.02310081
1686640559,0.134097254
1686640571,0.009305812
1686640583,0.018719436
1686640595,0.080942827
1686640607,0.015283611
1686640619,0.036128686
1686640631,0.045953136
1686640643,0.015475761
1686640655,0.014393731
1686640667,0.021356567
1686640679,0.010818188
1686640691,0.016760386
1686640703,0.030434672
1686640715,0.009855015
1686640727,0.018966613
1686640751,0.248405514
1686640763,0.064494075
1686640775,0.016490709
1686640787,0.042379206
1686640799,0.029405038
1686640811,0.016916419
1686640823,0.034756325
1686640835,0.012307223
1686640859,0.038133452
1686640871,0.013779469
1686640883,0.024423273
1686640895,0.085060068
1686640907,0.022460841
1686640919,0.009162079
1686640931,0.007908664
1686640943,0.017965262
1686640955,0.018594042
1686640967,0.013074935
1686640979,0.009467423
1686640991,0.093759938
1686641003,0.017770357
1686641015,0.012746703
1686641027,0.012469074
1686641039,0.012666641
1686641051,0.0193298
1686641063,0.018294613
1686641075,0.012944163
1686641087,0.182380286
1686641099,0.020072805
1686641111,0.014270312
1686641123,0.020317366
1686641135,0.020946383
1686641147,0.190057594
1686641159,0.0103451
1686641171,0.033167928
1686641183,0.031884722
1686641195,0.006564594
1686641207,0.021624853
1686641219,0.019395055
1686641231,0.040789876
1686641243,0.010123609
1686641255,0.010122096
1686641267,0.014254935
1686641279,0.02009231
1686641291,0.020998874
1686641303,0.005995851
1686641315,0.023821248
1686641327,0.027331342
1686641339,0.01934408
1686641351,0.014897247
1686641363,0.033149655
1686641375,0.046346585
1686641387,0.009481548
1686641399,0.01282667
1686641411,0.060490559
1686641423,0.021582603
1686641435,0.040677468
1686641447,0.026876878
1686641471,0.057411773
1686641483,0.015269673
1686641507,0
1686641519,0.217479159
1686641531,0.022339221
1686641543,0.014612234
1686641555,0.022712202
1686641567,0.110689353
1686641579,0.020926634
1686641591,0.013103467
1686641603,0.0204183
1686641615,0.018717425
1686641627,0.016370795
1686641639,0.052520737
1686641651,0.021627587
1686641663,0.023499959
1686641675,0.012861317
1686641687,0.031175835
1686641699,0.01776964
1686641711,0.03398135
1686641723,0.023912326
1686641735,0.0334955
1686641747,0.014269023
1686641759,0.026819842
1686641771,0.013938178
1686641783,0.01562932
1686641795,0.44115312
1686641807,0.052052003
1686641819,0.008992978
1686641831,0.016982998
1686641843,0.012668085
1686641855,0.013565334
1686641867,0.034766347
1686641879,0.02377864
1686641903,0.026240116
1686641915,0.071969381
1686641927,0.027168485
1686641939,0.03240938
1686641951,0.041365146
1686641963,0.044103007
1686641975,0.058828695
1686641987,0.01573278
1686641999,0.015003858
1686642011,0.019568315
1686642023,0.021497756
1686642035,0.02646356
1686642047,0.01623966
1686642059,0.015747231
1686642071,0.021799329
1686642083,0.025666731
1686642095,0.014794714
1686642107,0.024050382
1686642119,0.033633959
1686642131,0.032005778
1686642143,0.029940629
1686642155,0.060268033
1686642167,0.013029678
1686642179,0.047410751
1686642191,0.031898029
1686642203,0.101492606
1686642215,0.011447903
1686642227,0.010960965
1686642239,0.02272615
1686642251,0.020805454
1686642263,0.02330184
1686642275,0.020995299
1686642287,0.023090751
1686642299,0.048635616
1686642311,0.056768821
1686642323,0.014748852
1686642335,0.020890587
1686642347,0.010668301
1686642359,0.022669358
1686642371,0.022215871
1686642383,0.026516241
1686642395,0.037003458
1686642407,0.039425284
1686642419,0.042856212
1686642431,0.017260419
1686642443,0.038774231
1686642455,0.037542329
1686642467,0.011394056
1686642479,0.042057588
1686642491,0.02488836
1686642503,0.042182832
1686642515,0.009899218
1686642527,0.055072021
1686642539,0.016121897
1686642551,0.027680275
1686642563,0.012435402
1686642575,0.119729829
1686642587,0.019915757
1686642599,0.007457447
1686642611,0.016565362
1686642623,0.099251192
1686642635,0.012222781
1686642647,0.036820941
1686642659,0.02031801
1686642671,0.029317937
1686642683,0.008651804
1686642695,0.055643349
1686642707,0.006558556
1686642719,0.024551176
1686642731,0.01736746
1686642743,0.035632783
1686642755,0.011111915
1686642767,0.011440677
1686642779,0.011039929
1686642791,0.023509565
1686642803,0.018831724
1686642815,0.215729989
1686642827,0.03797584
1686642839,0.019676398
1686642851,0.019476228
1686642863,0.066598523
1686642875,0.012659841
1686642887,0.016607614
1686642899,0.013951937
1686642911,0.037591002
1686642923,0.02216897
1686642935,0.032697891
1686642947,0.023189748
1686642959,0.020737238
1686642971,0.040008689
1686642983,0.020182185
1686642995,0.028532604
1686643007,0.057013791
1686643019,0.015750983
1686643031,0.013996809
1686643043,0.021147791
1686643055,0.036058966
1686643067,0.023127526
1686643079,0.005701134
1686643091,0.056747945
1686643103,0.139506386
1686643115,0.03212297
1686643127,0.044103649
1686643139,0.022082644
1686643151,0.032282365
1686643163,0.028402176
1686643175,0.008439434
1686643187,0.049475124
1686643199,0.014611511
1686643211,0.056127461
1686643223,0.030876361
1686643235,0.017832268
1686643247,0.06911937
1686643259,0.014498699
1686643271,0.021824669
1686643283,0.017989698
1686643295,0.038827632
1686643307,0.007473399
1686643319,0.026477918
1686643331,0.03886091
1686643343,0.014658201
1686643355,0.013728879
1686643367,0.027008459
1686643379,0.008584544
1686643391,0.033975586
1686643403,0.018332214
1686643415,0.034009795
1686643427,0.029506811
1686643439,0.009515042
1686643451,0.027199541
1686643463,0.012092583
1686643475,0.019524932
1686643487,0.022328506
1686643499,0.012081576
1686643511,0.048407299
1686643523,0.013615559
1686643535,0.034651132
1686643547,0.026232003
1686643559,0.02131453
1686643571,0.022745459
